id,context,response,tags
0,"what color is an apple","apples are red","fruits,color"
1,"what color is an bannana","bannanas are yellow","fruits,color"
2,"who is Kamala Harris","Kamala Harris is the vice president of the US","USA,government"
3,"what color does Kamala Harris like","Kamala Harris loves the color yellow","USA,government,color"
4,"what do you think of Mondays","Mondays are boring", "general"
5,"what do you think of Tuesdays","Tuesdays are tiring", "general"
6,"what do you think of weekdays in general","Weekdays are a buzz kill","general"
7,"what do you think of weekends","Weekends are the best","general"
8,"Why do you let your kids play out on the street on weekends","There are hardly any cars on the road on the weekends","traffic"
9,"Does the US vice president have days off work","Vice president of the US holidays on the weekend","USA"
10,"when is the next US holiday in July","July 4th is the next US holiday","holidays"
11,"what color is a Water Melon","Water melons are also red","fruits,color"
12,"Did Peter knowles and his love interest Mary Jane get married",Mary Jane and Peter Knowles got married in 2001,"spiderman,marvel"
13,"Do Peter knowles and Mary jane have kids","When married to Peter, Mary gave birth to a son David in 2009","spiderman,marvel"
14,"What does Peter knowles do for work",Peter is working in daily mirror as a senior photographer,"spiderman,marvel"
15,"what is he at Daily mirror",Peter owns the sports section of daily mirror along with Mike and Mitch who are the Sports Executive Director and Media executive directors respectively,"spiderman,marvel"
16,"Is the daily mirror's sports section appreciated by the public",Sports is crucial to daily mirror's circulation,"spiderman,marvel"
17,"Give me a sample validation rule",if claim.department == null then set claim.status = 'HOLD' is an example of a validation Rule,"rules"
18,"Give me a sample hold rule","if claim.procedurecodes.any('a') then claim.procedurecodes.replace('a' 'x') is an example of a transformation Rule","rules"
19,"Give Business name for DecisionResponse.activeInsurance.acceptsAssignment","Accepts Assignment ",bca
20,"Give Business name for PatientOrInsuranceBKM.Get Active Case Policies ( refPatientInsurances:DecisionResponse.refData.patientInsurances )","Active's Case Policies ",bca
21,"Give Business name for PatientOrInsuranceBKM.Get Active Claim Submission Category(DecisionResponse.activeInsurance.insurancePackage.claimSubmissionCategory)","Active \""Claim Submission Category ID ",bca
22,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.addons","Active Service Type Add On ",bca
23,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.spinalManipulation.acuteManifestationDate","Acute Manifestation Date ",bca
24,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.adjudicationProgramId","Adjudication Program ID ",bca
25,"Give Business name for DecisionResponse.scrubbedClaim.claim.claimFormats.ubForm.admissionHour","Admission Hour ",bca
26,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider","Admitting Provider ",bca
27,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.address","Admitting Provider Address ",bca
28,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.address.street1","Admitting Provider Address Line 1 ",bca
29,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.address.street2","Admitting Provider Address Line 2 ",bca
30,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.address.city","Admitting Provider City ",bca
31,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.entityType","Admitting Provider Entity Type ",bca
32,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.entityType.id","Admitting Provider Entity Type ID ",bca
33,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.fax","Admitting Provider Fax ",bca
34,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.firstName","Admitting Provider First Name ",bca
35,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.id","Admitting Provider ID ",bca
36,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.lastName","Admitting Provider Last Name ",bca
37,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.lastNameUnstripped","Admitting Provider Last Name With Special Characters ",bca
38,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.middleInitial","Admitting Provider Middle Initial ",bca
39,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.nameSuffix","Admitting Provider Name Suffix ",bca
40,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.admittingProviderNumber.npi","Admitting Provider NPI ",bca
41,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.admittingProviderNumber","Admitting Provider Number ",bca
42,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.pecosEnrollmentYN","Admitting Provider PECOS Enrolled Flag ",bca
43,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.pecosMatchYN","Admitting Provider PECOS Match Flag ",bca
44,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.address.phone","Admitting Provider Phone ",bca
45,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.SpecialtyId","Admitting Provider Specialty ID ",bca
46,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.address.state","Admitting Provider State ",bca
47,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.ansiSpecialtyAnsiCode","Admitting Provider Taxonomy Code ",bca
48,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.ansiSpecialtyId","Admitting Provider Taxonomy ID ",bca
49,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.ansiSpecialtyName","Admitting Provider Taxonomy Name ",bca
50,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.type.id","Admitting Provider Type ID ",bca
51,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.admittingProvider.address.zip","Admitting Provider ZIP Code ",bca
52,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.allowableCategoryId","Allowable Category ID ",bca
53,"Give Business name for DecisionResponse.scrubbedClaim.claim.ambulance.isAmbulance","Ambulance Claim Flag ",bca
54,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.settings.anesthesia.claimType","Anesthesia Charge Formatting ",bca
55,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.providers[item.providerType = Supervising Provider Type ID].id","Anesthesia Directing Provider Type ",bca
56,"Give Business name for First Charge.anesthesiaTimeSheetData.procedureCode","Anesthesia Flag Px ",bca
57,"Give Business name for DecisionResponse.scrubbedClaim.claim.anesthesia.settings.firstLastLongest","Anesthesia Provider Priority ",bca
58,"Give Business name for DecisionResponse.scrubbedClaim.claim.anesthesia.settings","Anesthesia Settings ",bca
59,"Give Business name for First Charge.anesthesiaTimeSheetData.anesthesiaTimeSheetEntries","Anesthesia Time Sheet Entries ",bca
60,"Give Business name for First Charge.anesthesiaTimeSheetData","Anesthesia Time Sheet Flag ",bca
61,"Give Business name for DecisionResponse.scrubbedClaim.claim.anesthesia.typeId","Anesthesia Type ",bca
62,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.specialtyCode","Ansi Specialty Code ",bca
63,"Give Business name for ProviderBKM.Fetch Ansi Specialty Code( ansiSpecialtyId: DecisionResponse.activeInsurance.insurancePackage.supervisingProviderNumber.ansiSpecialtyId, decisionResponse: Decision Response )"","AnsiSpecialtyAnsiCode ",bca
64,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.copayAmount","Appointment Copay ",bca
65,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.date","Appointment Date ",bca
66,"Give Business name for DateBKM.Fetch Day of Week Details(DateBKM.Convert Date to String(DecisionResponse.scrubbedClaim.claim.appointment.date))","Appointment Day Of The Week ",bca
67,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.id","Appointment ID ",bca
68,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment","Appointment Linked Flag ",bca
69,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.startTime","Appointment Start Time ",bca
70,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.appointmentType.classId","Appointment Type Class ID ",bca
71,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.appointmentType.id","Appointment Type ID ",bca
72,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.appointmentType.name","Appointment Type Name ",bca
73,"Give Business name for DecisionResponse.scrubbedClaim.claim.appointment.appointmentType.shortName","Appointment Type Short Name ",bca
74,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.dme.cmnQuestions","Are CMN Questions Answered ",bca
75,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.consistentWithAccountYN","Are your findings consistent with patient account? ",bca
76,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.credentialed.asc","ASC Credentialed ",bca
77,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.postOperativeCare.assumedCareDate","Assumed Care Date ",bca
78,"Give Business name for DecisionResponse.scrubbedClaim.claim.attachments","Attachment ",bca
79,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.paperWork.attachmentControlNumber","Attachment Control Number ",bca
80,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.paperWork.attachmentType","Attachment Report Type Code ",bca
81,"Give Business name for DecisionResponse.scrubbedClaim.claim.specialtyFieldGroup.paperWork.attachmentTransmissionCode","Attachment Transmission Code ",bca
82,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider","Attending Provider ",bca
83,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.address.street1","Attending Provider Address Line 1 ",bca
84,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.address.city","Attending Provider City ",bca
85,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.entityType.id","Attending Provider Entity Type ID ",bca
86,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.firstName","Attending Provider First Name ",bca
87,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.id","Attending Provider ID ",bca
88,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.lastName","Attending Provider Last Name ",bca
89,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.middleInitial","Attending Provider Middle Initial ",bca
90,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.nameSuffix","Attending Provider Name Suffix ",bca
91,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.attendingProviderNumber.npi","Attending Provider NPI ",bca
92,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.attendingProviderNumber.providerNumber","Attending Provider Number ",bca
93,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.specialtyId","Attending Provider Speciality ID ",bca
94,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.address.state","Attending Provider State ",bca
95,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.ansiSpecialtyAnsiCode","Attending Provider Taxonomy Code ",bca
96,"Give Business name for DecisionResponse.scrubbedClaim.claim.medicalGroup.providerGroup.providers.attendingProvider.address.zip","Attending Provider ZIP Code ",bca
97,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.fromDate","Authorization Effective From Date ",bca
98,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.toDate","Authorization Effective To Date ",bca
99,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.notes","Authorization Notes ",bca
100,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.authorizationNumber","Authorization Number ",bca
101,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization","Authorization Number Entity ",bca
102,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.typeId","Authorization Type ID ",bca
103,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.visitsIn Production","Authorization Visits/Units Approved ",bca
104,"Give Business name for DecisionResponse.scrubbedClaim.claim.referralAuthorization.visitsLeft","Authorization Visits/Units Remaining ",bca
105,"Give Business name for DecisionResponse.scrubbedClaim.claim.autoAccidentState","Auto Accident State ",bca
106,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.autoFormatting","Auto Formatting ",bca
107,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.settings.anesthesia.directionModifierYN","Automate Anesthesia Level Of Direction Modifier Flag ",bca
108,"Give Business name for DecisionResponse.scrubbedClaim.claim.anesthesia.settings.unitOfMeasure","Automate Anesthesia Minutes Per Unit ",bca
109,"Give Business name for DecisionResponse.scrubbedClaim.claim.batchSpecialHandling","Batch Special Handling ",bca
110,"Give Business name for DecisionResponse.scrubbedClaim.claim.billingGroup","Billing Group ",bca
111,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.claimSubmissionCategory.billingTypeId","Billing Type ID ",bca
112,"Give Business name for DecisionResponse.scrubbedClaim.claim.settings.bundleModifiers","Bundle Modifiers Entity ",bca
113,"Give Business name for Decision Context.DecisionResponse.refData.bundlingErrors","Bundling Error List ",bca
114,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.nyForm.businessRelationship","Business Relationship ",bca
115,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.capwizards","Capitation Policies ",bca
116,"Give Business name for DecisionResponse.activeInsurance.insurancePackage.casePolicyId","Case Policy Type ID ",bca
117,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.changeInPatientCondition","Change In Patient Condition ",bca
118,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.changeInTreatmentPlan","Change In Treatment Plan ",bca
119,"Give Business name for DecisionResponse.scrubbedClaim.claim.workersCompensation.caForm.changeInWorkStatus","Change In Work Status ",bca
120,"Give Business name for DecisionResponse.refData.changeSupervisingProviders","Change Supervising Providers ",bca
121,"Give Business name for DecisionResponse.scrubbedClaim.referenceData.chargeAmounts","Charge Amounts ",bca
122,"Give Business name for First Charge.anesthesiaYN","Charge Anesthesia Flag ",bca
123,"Give Business name for DecisionResponse.scrubbedClaim.claim.charges.allowable.amount","Charge Expected Allowed Amount ",bca
124,"Give Business name for DecisionResponse.scrubbedClaim.claim.charges.fromDate","Charge From Date ",bca
125,"Give Business name for DecisionResponse.refData.chargeNotes","Charge Notes ",bca
126,"Give Business name for DecisionResponse.scrubbedClaim.claim.charges.toDate","Charge To Date ",bca
