id,context,response,tags
0,"what color is an apple","apples are red","fruits,color"
1,"what color is an bannana","bannanas are yellow","fruits,color"
2,"who is Kamala Harris","Kamala Harris is the vice president of the US","USA,government"
3,"what color does Kamala Harris like","Kamala Harris loves the color yellow","USA,government,color"
4,"what do you think of Mondays","Mondays are boring", "general"
5,"what do you think of Tuesdays","Tuesdays are tiring", "general"
6,"what do you think of weekdays in general","Weekdays are a buzz kill","general"
7,"what do you think of weekends","Weekends are the best","general"
8,"Why do you let your kids play out on the street on weekends","There are hardly any cars on the road on the weekends","traffic"
9,"Does the US vice president have days off work","Vice president of the US holidays on the weekend","USA"
10,"when is the next US holiday in July","July 4th is the next US holiday","holidays"
11,"what color is a Water Melon","Water melons are also red","fruits,color"
12,"Did Peter knowles and his love interest Mary Jane get married",Mary Jane and Peter Knowles got married in 2001,"spiderman,marvel"
13,"Do Peter knowles and Mary jane have kids","When married to Peter, Mary gave birth to a son David in 2009","spiderman,marvel"
14,"What does Peter knowles do for work",Peter is working in daily mirror as a senior photographer,"spiderman,marvel"
15,"what is he at Daily mirror",Peter owns the sports section of daily mirror along with Mike and Mitch who are the Sports Executive Director and Media executive directors respectively,"spiderman,marvel"
16,"Is the daily mirror's sports section appreciated by the public",Sports is crucial to daily mirror's circulation,"spiderman,marvel"
17,"Give me a sample validation rule",if claim.department == null then set claim.status = 'HOLD' is an example of a validation Rule,"rules"
18,"Give me a sample hold rule","if claim.procedurecodes.any('a') then claim.procedurecodes.replace('a' 'x') is an example of a transformation Rule","rules"
